Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info on Hospitalizations,Deaths,Info on Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category
2011,2,Oklahoma,Food,,,,"Fair, festival, other temp or mobile services; Prison/jail",352,0,352,0,352,,,
2011,2,Maryland,Food,Campylobacter jejuni,,Confirmed,Private home/residence,3,1,1,0,0,,,
2011,3,Minnesota,Food,Norovirus Genogroup II,,Confirmed,Private home/residence; Religious facility,53,6,53,0,53,,,
2011,1,California,Food,,,,Restaurant - Sit-down dining,13,0,13,0,13,"tartar sauce, unspecified",,Multiple
2011,2,Hawaii,Food,,,,,2,0,2,0,2,,,
2011,3,Ohio,Food,,,,Restaurant - other or unknown type,2,0,2,0,2,,,
2011,3,Illinois,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,
2011,3,Mississippi,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),24,0,24,0,24,,,
2011,2,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,0,2,0,2,"ground beef, hamburger",ground beef,Beef
2011,1,Michigan,Food,,,,,13,0,13,0,13,,,
2011,3,Minnesota,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,artichoke dip,,Multiple
2011,3,Minnesota,Food,Bacillus cereus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,"rice, fried rice",,Multiple
2011,3,Idaho,Food,,,,Banquet Facility (food prepared and served on-site); Caterer (food prepared off-site from where served),43,1,30,0,30,,,
2011,3,Minnesota,Food,Clostridium perfringens,,Confirmed,Prison/jail,32,0,32,0,32,"potato, scalloped",,Multiple
2011,3,Louisiana,Food,Salmonella enterica,Pomona,Confirmed,,51,2,51,0,51,,,
2011,2,California,Food,Norovirus unknown,,Confirmed,Restaurant - other or unknown type,14,0,14,0,14,hummus,,Multiple
2011,2,Pennsylvania,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining,24,0,24,0,24,garden salad,,Multiple
2011,3,Texas,Food,,,,Restaurant - other or unknown type,3,0,3,0,3,,,
2011,3,Ohio,Food,,,,Private home/residence,2,1,2,0,2,,,
2011,1,Maryland,Food,,,,Private home/residence,6,0,6,0,6,,,
2011,2,Florida,Food,Norovirus unknown,,Suspected,"Fair, festival, other temp or mobile services",7,0,7,0,7,"oysters, raw",oysters,Mollusks
2011,3,Michigan,Food,,,,,6,0,6,0,6,,,
2011,2,Michigan,Food,,,,,15,0,15,0,15,,,
2011,2,Colorado,Food,Norovirus unknown,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,,,
2011,1,Oregon,Food,Norovirus Genogroup II,,Confirmed,Private home/residence,19,0,19,0,19,,,
2011,1,Oregon,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,22,,22,,22,,,
2011,3,Texas,Food,,,,,2,0,0,0,0,,,
2011,3,Florida,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,78,3,78,0,78,shredded lettuce,,Vegetable Row Crops
2011,3,Connecticut,Food,Salmonella enterica,Enteritidis,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",8,2,8,0,8,"sandwich, unspecified; salads",,Multiple
2011,3,Florida,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,44,0,44,0,44,,,
2011,3,New York,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,2,2,2,0,2,venison,venison,Game
2011,3,Ohio,Food,Salmonella enterica,Muenchen,Suspected,Unknown,3,0,3,0,3,,,
2011,1,Michigan,Food,,,,,10,0,10,0,10,,,
2011,3,Florida,Food,Scombroid toxin,,Confirmed,Restaurant - Sit-down dining,5,0,5,0,5,"fish, tuna",tuna,Fish
2011,3,Illinois,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,,,
2011,3,Texas,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,2,0,2,,,
2011,3,Texas,Food,,,,Restaurant - other or unknown type,2,0,2,0,2,,,
2011,4,Texas,Food,,,,,2,0,2,0,2,,,
2011,4,Connecticut,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,24,0,,0,,salads,,Multiple
2011,3,Maryland,Food,Salmonella enterica,Infantis,Confirmed,Religious facility,18,5,18,0,18,"sausage, pork",pork,Pork
2011,3,Rhode Island,Food,Salmonella enterica,Heidelberg,Confirmed,,81,29,81,2,81,,,
2011,4,Minnesota,Food,Bacillus cereus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,"fried rice, unspecified",,Multiple
2011,4,Hawaii,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.4 New Orleans; GII.4 New Orleans,Confirmed; Confirmed,,80,0,80,0,80,,,
2011,4,Tennessee,Food,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Restaurant - Sit-down dining,3,0,3,0,3,,,
2011,4,Tennessee,Food,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Private home/residence; School/college/university,20,1,20,0,20,,,
2011,4,Texas,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,4,0,4,,,
2011,3,Minnesota,Food,Trichinella spiralis,,Confirmed,Private home/residence,2,1,2,0,2,"boar, unspecified",boar,Game
2011,1,Michigan,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,6,1,6,0,6,,,
2011,1,Washington,Food,Norovirus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,4,0,4,,,
2011,4,New York,Food,,,,Restaurant - Sit-down dining,8,0,8,0,8,,,
2011,4,Michigan,Food,Norovirus Genogroup II,GII.6,Confirmed,Caterer (food prepared off-site from where served),57,0,57,0,57,"salad, greek; caesar salad",,Multiple
2011,4,Idaho,Food,Clostridium perfringens,,Confirmed,Restaurant - Sit-down dining,23,0,23,0,23,"enchilada, chicken",chicken,Chicken
2011,4,Michigan,Food,Salmonella enterica,Muenchen,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",7,4,7,0,7,clover sprouts,clover sprouts,Sprouts
2011,3,South Carolina,Food,Campylobacter jejuni,,Confirmed,Other,23,1,23,0,23,raw milk,"milk, whole milk unpasteurized",Dairy
2011,4,Maryland,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,,,
2011,4,New York,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,9,0,9,0,9,"salad, unspecified; bread, unspecified",lettuce; bread,Multiple
2011,4,Georgia,Food,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),22,0,22,0,22,"pineapple, unspecified; cantaloupe",pineapple; cantaloupe,Fruits
2011,2,Georgia,Food,Norovirus Genogroup II,,Confirmed,Office/indoor workplace,207,1,207,0,207,"juice, unspecified",,Fruits
2011,3,California,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,
2011,2,California,Food,Norovirus unknown,,Confirmed,Restaurant - other or unknown type,27,0,27,0,27,"cilantro, unspecified; salsa",cilantro,Herbs
2011,2,California,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",8,0,8,0,8,,,
2011,1,California,Food,,,,Restaurant - Sit-down dining,11,0,7,0,7,,,
2011,3,California,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,
2011,3,Florida,Food,Clostridium perfringens,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0,4,0,4,,,
2011,3,Florida,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,"cake, cheese",,Multiple
2011,4,Minnesota,Food,Norovirus Genogroup I,,Confirmed,Camp,23,0,23,0,23,,,
2011,1,Washington,Food,Other,,Suspected,Restaurant - Sit-down dining,2,0,2,0,2,"pork, sweet and sour",,Multiple
2011,4,Washington,Food,Norovirus Genogroup I,,Confirmed,Grocery store,9,0,9,0,9,"sandwich, submarine",,Multiple
2011,4,Connecticut,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,3,0,3,0,3,,,
2011,4,Florida,Food,Ciguatoxin,,Confirmed,Restaurant - Sit-down dining,2,0,2,0,2,"fish, mahi mahi","fish, mahi mahi",Fish
2011,3,Alabama,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,18,2,18,0,18,chips; salsa,corn; cilantro; onion; peppers; tomato,Multiple
2011,4,Illinois,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),24,0,24,0,24,,,
2011,2,California,Food,Norovirus unknown,,Confirmed,Restaurant - other or unknown type,18,0,18,0,18,coleslaw,,Multiple
2011,3,California,Food,Norovirus unknown,,Confirmed,Restaurant - other or unknown type,8,0,8,0,8,,,
2011,3,California,Food,Norovirus unknown,,Confirmed,Restaurant - Sit-down dining,21,0,21,0,21,,,
2011,3,Pennsylvania,Food,Norovirus unknown,,Suspected,Caterer (food prepared off-site from where served),57,1,57,0,57,"pizza, vegetable","bread, sourdough; broccoli; cheese, unspecified; cream cheese; tomato",Multiple
2011,4,Maine,Food,Norovirus Genogroup II,,Suspected,,41,0,41,0,41,,,
2011,4,Oregon,Food,Salmonella enterica,Stanley,Confirmed,Banquet Facility (food prepared and served on-site),4,2,4,0,4,,,
2011,2,Michigan,Food,,,,Unknown,2,0,2,0,2,,,
2011,5,Florida,Food,Bacillus cereus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,"rice, fried rice","rice, white",Grains-Beans
2011,4,Ohio,Food,,,,Unknown,2,0,2,0,2,,,
2011,3,Texas,Food,,,,,2,0,0,0,0,,,
2011,4,Texas,Food,,,,,3,0,3,0,3,,,
2011,3,Texas,Food,,,,,2,0,0,0,0,,,
2011,5,Texas,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0,2,0,2,,,
2011,4,Michigan,Food,Norovirus Genogroup II,,Suspected,,14,0,14,0,14,,,
2011,4,Illinois,Food,Salmonella enterica,Typhimurium,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",36,3,34,0,36,multiple salads,,Unclassifiable
2011,5,Illinois,Food,,,,,11,0,11,0,11,,,
2011,5,Illinois,Food,Norovirus Genogroup I,,Confirmed,Banquet Facility (food prepared and served on-site),13,0,13,0,13,,,
2011,4,Pennsylvania,Food,Campylobacter jejuni,,Confirmed,,3,0,3,0,3,"milk, whole milk unpasteurized; milk, whole milk unpasteurized","milk, whole milk unpasteurized",Dairy
2011,5,Florida,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,7,0,7,0,7,house salad,cherry tomato; lettuce,Multiple
2011,4,Pennsylvania,Food,,,,Banquet Facility (food prepared and served on-site),81,0,81,0,81,"salad, unspecified",,Multiple
2011,4,Rhode Island,Food,Norovirus,,Confirmed,,8,0,8,0,8,,,
2011,5,Texas,Food,,,,,4,0,4,0,4,,,
2011,1,California,Food,Salmonella enterica,Typhimurium,Suspected,Grocery store; Other,7,0,7,0,7,carne asada,,Multiple
2011,2,California,Food,Norovirus unknown,,Suspected,Restaurant - Sit-down dining,8,1,8,0,8,,,
2011,4,Georgia,Food,Norovirus Genogroup II,,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),19,0,19,0,19,"house salad; cake, chocolate",,Multiple
2011,3,Georgia,Food,Salmonella enterica,Saintpaul,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; Restaurant - other or unknown type; Private home/residence",14,2,14,0,14,"cucumber; tomato, unspecified",cucumber; tomato,Seeded Vegetables
2011,4,Florida,Food,Norovirus Genogroup II,,Confirmed,Private home/residence,6,0,6,0,6,fruit smoothie,,Multiple
2011,4,Florida,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,3,0,3,0,3,blue cheese dressing,,Multiple
2011,5,Texas,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0,3,0,3,,,
2011,5,Michigan,Food,,,,,6,1,6,0,6,,,
2011,3,Michigan,Food,,,,,13,0,10,0,10,,,
2011,5,New York,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,20,0,20,0,20,,,
2011,5,New York,Food,"Escherichia coli, Enterotoxigenic",O6:H16,Confirmed,Restaurant - Sit-down dining,19,0,19,0,19,tabouleh salad; spinach struedel,,Multiple
2011,4,Minnesota,Food,Norovirus,,Confirmed,Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site),61,0,61,0,61,fruit,"fruit, unspecified",Fruits
2011,4,Minnesota,Food,Norovirus Genogroup II,,Confirmed,Private home/residence,29,0,29,0,29,caesar salad; potato salad,,Multiple
2011,5,Minnesota,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining,9,0,9,0,9,,,
2011,5,Minnesota,Food,Norovirus,,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0,5,0,5,,,
2011,5,Minnesota,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),32,1,32,0,32,"potato, mashed",,Multiple
2011,5,Connecticut,Food,,,,Caterer (food prepared off-site from where served),13,0,13,0,13,chicken picata; eggplant,,Multiple
2011,5,Tennessee,Food,Norovirus Genogroup I,GI.3,Confirmed,Restaurant - Sit-down dining,6,0,6,0,6,,,
2011,5,Pennsylvania,Food,Salmonella enterica,Enteritidis,Confirmed,,10,1,10,0,10,chicken picata,chicken,Chicken
2011,3,Puerto Rico,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter)",14,0,7,0,14,pizza,,Multiple
2011,3,Hawaii,Food,,,,,3,0,3,0,3,,,
2011,5,Pennsylvania,Food,Staphylococcus aureus,,Suspected,,4,0,4,0,4,,,
2011,5,Illinois,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,,,
2011,5,Ohio,Food,,,,,3,0,3,0,3,,,
2011,5,Texas,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,"pizza, meat",,Multiple
2011,5,Texas,Food,,,,,3,0,2,0,2,,,
2011,4,Florida,Food,Norovirus Genogroup II,,Suspected,Restaurant - Sit-down dining,24,0,24,0,24,"fruit cup, water, ice",,Multiple
2011,3,New York,Food,"Escherichia coli, Enterotoxigenic",unknown,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),53,0,16,0,16,hummus,,Multiple
2011,5,Illinois,Food,Norovirus Genogroup II,,Confirmed,,13,0,13,0,13,,,
2011,5,Illinois,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,"sandwich, roast beef",,Multiple
2011,4,Alabama,Food,Norovirus Genogroup I,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",21,2,21,0,21,lettuce,lettuce,Vegetable Row Crops
2011,5,Texas,Food,,,,,3,0,0,0,0,,,
2011,4,Massachusetts,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,197,,,0,197,,,
2011,3,Ohio,Food,,,,Private home/residence,28,0,28,0,28,"bean dishes; collard greens; chicken and dumplings; taco, unspecified; apple crisp; dip, buffalo chicken",,Multiple
2011,5,Georgia,Food,Salmonella enterica,Heidelberg,Confirmed,Private home/residence,4,1,4,0,4,,,
2011,2,Texas,Food,,,,,19,2,19,0,19,,,
2011,6,Minnesota,Food,Staphylococcus aureus,,Suspected,Private home/residence,13,0,13,0,13,potato salad,egg,Eggs
2011,6,Iowa,Food,,,,,11,0,11,0,11,,,
2011,4,Pennsylvania,Food,Norovirus,,Suspected,Caterer (food prepared off-site from where served),50,0,50,0,50,"sandwich, deli","american cheese, pasteurized; lettuce; tomatoes, red round",Multiple
2011,5,Kansas,Food,,,,Restaurant - Sit-down dining,3,0,3,0,3,,,
2011,5,Kansas,Food,Clostridium perfringens,,Suspected,Prison/jail,115,0,115,0,115,chili macaroni,turkey,Turkey
2011,5,Michigan,Food,Campylobacter unknown,,Confirmed,Other,2,0,2,0,2,raw milk,raw milk,Dairy
2011,6,Michigan,Food,,,,Office/indoor workplace,8,0,8,0,8,"burrito, unspecified; salsa",,Multiple
2011,6,Illinois,Food,,,,Restaurant - Sit-down dining,13,0,13,0,13,,,
2011,4,California,Food,,,,Restaurant - Sit-down dining,12,0,12,0,12,,,
2011,5,Minnesota,Food,Norovirus,,Suspected,Restaurant - Sit-down dining,7,0,7,0,7,,,
2011,6,Illinois,Food,,,,Banquet Facility (food prepared and served on-site),2,0,2,0,2,,,
2011,6,Texas,Food,,,,Restaurant - Sit-down dining,6,0,6,0,6,ribs,,Multiple
2011,6,New York,Food,"Escherichia coli, Enterotoxigenic",,Confirmed,Restaurant - Sit-down dining,90,1,81,0,81,bbq tofu,,Multiple
2011,2,Arizona,Food,Norovirus Genogroup II,,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",17,0,1,0,1,,,
2011,5,California,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,,,
2011,1,California,Food,Salmonella enterica,Typhimurium,Confirmed,Private home/residence,37,7,34,0,37,"queso fresco, unpasteurized",,Dairy
2011,5,Georgia,Food,Salmonella enterica,Enteritidis,Confirmed,Caterer (food prepared off-site from where served); Grocery store; Other,25,1,25,0,25,,,
2011,3,Arizona,Food,,,,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining",2,1,2,0,2,,,
2011,5,Oklahoma,Food,Norovirus Genogroup II,,Confirmed,Caterer (food prepared off-site from where served),39,0,39,0,39,"chicken; salad, unspecified",,Multiple
2011,4,Arizona,Food,Norovirus Genogroup I,,Confirmed,Restaurant - Sit-down dining,5,0,4,0,4,,,
2011,4,Pennsylvania,Food,,,,Banquet Facility (food prepared and served on-site),12,0,12,0,12,,,
2011,5,Wisconsin,Food,Clostridium perfringens,,Suspected,Private home/residence,12,0,12,0,12,"beef, roast with gravy",,Multiple
2011,6,Maryland,Food,,,,Restaurant - Sit-down dining,2,0,2,0,2,,,
2011,6,New York,Food,,,,Banquet Facility (food prepared and served on-site),15,0,15,0,15,vegetable platter,,Multiple
2011,6,Louisiana,Food,Clostridium perfringens,,Confirmed,,30,0,30,0,30,,,
2011,3,Ohio,Food,,,,,3,1,3,0,3,,,
2011,3,Colorado,Food,Clostridium perfringens,,Confirmed,Private home/residence,27,0,27,0,27,"beef, brisket; potato, mashed","beef, brisket; gravy, beef; potatoes",Multiple
2011,3,Colorado,Food,,,,Prison/jail,71,0,71,0,71,,,
2011,4,Colorado,Food,,,,Restaurant - Sit-down dining,4,0,4,0,4,,,
2011,6,Hawaii,Food,,,,,2,0,2,0,2,,,
2011,3,Colorado,Food,,,,Restaurant - Sit-down dining,2,1,1,0,1,,,
2011,2,Colorado,Food,Norovirus unknown; Clostridium other,,Confirmed; Confirmed,Long-term care/nursing home/assisted living facility,33,0,33,0,33,,,
2011,1,Colorado,Food,,,,Long-term care/nursing home/assisted living facility,36,1,31,0,36,,,
2011,4,Texas,Food,,,,,7,0,7,0,7,,,
2011,3,California,Food,Norovirus unknown,,Suspected,Caterer (food prepared off-site from where served),15,0,15,0,15,green salad,,Multiple
2011,5,Idaho,Food,"Escherichia coli, Shiga toxin-producing",O121:H19,Confirmed,Private home/residence,2,2,2,0,0,,,
2011,6,Missouri,Food,Salmonella enterica; Salmonella enterica,Agona; Derby,Confirmed; Confirmed,Private home/residence; Caterer (food prepared off-site from where served),13,0,13,0,13,smoked whole hog,pork,Pork
2011,6,Wisconsin,Food,Campylobacter jejuni,,Confirmed,Other,16,1,16,0,16,"whole milk, unpasteurized",,Dairy
2011,6,Georgia,Food,Norovirus Genogroup II,,Confirmed,Religious facility,80,2,53,0,80,"lemonade, unspecified",,Fruits
2011,5,Massachusetts,Food,Salmonella enterica,Thompson,Confirmed,Restaurant - other or unknown type,7,2,7,0,7,,,
2011,4,Georgia,Food,Salmonella enterica,Typhimurium var Cope,Confirmed,Private home/residence,17,3,17,0,17,chicken,,Chicken
2011,4,Puerto Rico,Food,Ciguatoxin,,Confirmed,Private home/residence,9,0,9,0,9,"fish, baracuda",,Fish
2011,4,Puerto Rico,Food,Ciguatoxin,,Confirmed,Private home/residence,7,0,7,0,7,"fish, king mackarel",,Fish
2011,5,Puerto Rico,Food,Ciguatoxin,,Confirmed,Restaurant - other or unknown type,4,0,4,0,4,"fish, baracuda",,Fish
2011,5,Puerto Rico,Food,Ciguatoxin,,Confirmed,Other,3,0,3,0,3,"fish, amberjack",,Fish
2011,6,Virginia,Food,Norovirus,,Confirmed,Restaurant - other or unknown type,14,0,14,0,14,,,
2011,5,Rhode Island,Food,Norovirus Genogroup II,,Confirmed,,12,0,12,0,12,,,
2011,4,Wisconsin,Food,"Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed,Private home/residence,13,3,13,0,13,,,
2011,6,Texas,Food,,,,,5,0,5,0,5,,,
2011,4,Tennessee,Food,Hepatitis A,,Confirmed,Restaurant - Sit-down dining,7,2,7,0,7,,,
2011,5,Tennessee,Food,Norovirus Genogroup I,GI.3,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0,5,0,5,,,
2011,6,Connecticut,Food,Norovirus Genogroup II,,Confirmed,Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site),23,0,23,0,23,garden salad,,Multiple
2011,6,Connecticut,Food,Norovirus Genogroup II,,Confirmed,Banquet Facility (food prepared and served on-site),21,0,21,0,21,ziti & meatballs; water; paella,,Multiple
2011,6,New York,Food,Campylobacter jejuni,,Confirmed,Other,4,0,2,0,2,raw milk,"milk, whole milk unpasteurized",Dairy
2011,4,Texas,Food,Salmonella enterica,Heidelberg,Confirmed,,21,2,21,0,21,,,
2011,6,Ohio,Food,Salmonella enterica,Typhimurium,Confirmed,,12,2,12,0,12,"cake, unspecified",,Multiple
2011,6,Pennsylvania,Food,Campylobacter unknown,,Confirmed,Other,5,0,5,0,5,"milk, whole milk unpasteurized","milk, whole milk unpasteurized",Dairy
2011,6,Texas,Food,,,,,2,0,2,0,2,,,
2011,6,Texas,Food,,,,,4,0,4,0,4,,,
2011,6,Texas,Food,,,,,2,0,2,0,2,,,
