,Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category
81,2011,3,Florida,Food,Scombroid toxin,nan,Confirmed,Restaurant - Sit-down dining,5,0.0,0.0,"fish, tuna",tuna,Fish
82,2011,3,Illinois,Food,nan,nan,nan,Restaurant - Sit-down dining,6,0.0,0.0,nan,nan,nan
83,2011,3,Texas,Food,nan,nan,nan,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0.0,0.0,nan,nan,nan
84,2011,3,Texas,Food,nan,nan,nan,Restaurant - other or unknown type,2,0.0,0.0,nan,nan,nan
85,2011,4,Texas,Food,nan,nan,nan,nan,2,0.0,0.0,nan,nan,nan
86,2011,4,Connecticut,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,24,0.0,0.0,salads,nan,Multiple
87,2011,3,Maryland,Food,Salmonella enterica,Infantis,Confirmed,Religious facility,18,5.0,0.0,"sausage, pork",pork,Pork
88,2011,3,Rhode Island,Food,Salmonella enterica,Heidelberg,Confirmed,nan,81,29.0,2.0,nan,nan,nan
89,2011,4,Minnesota,Food,Bacillus cereus,nan,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,0.0,"fried rice, unspecified",nan,Multiple
90,2011,4,Hawaii,Food,Norovirus Genogroup II; Norovirus Genogroup II,GII.4 New Orleans; GII.4 New Orleans,Confirmed; Confirmed,nan,80,0.0,0.0,nan,nan,nan
91,2011,4,Tennessee,Food,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Restaurant - Sit-down dining,3,0.0,0.0,nan,nan,nan
92,2011,4,Tennessee,Food,Norovirus Genogroup II,GII.4 New Orleans,Confirmed,Private home/residence; School/college/university,20,1.0,0.0,nan,nan,nan
93,2011,4,Texas,Food,nan,nan,nan,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0.0,0.0,nan,nan,nan
94,2011,3,Minnesota,Food,Trichinella spiralis,nan,Confirmed,Private home/residence,2,1.0,0.0,"boar, unspecified",boar,Game
95,2011,1,Michigan,Food,Salmonella enterica,Enteritidis,Confirmed,Restaurant - Sit-down dining,6,1.0,0.0,nan,nan,nan
96,2011,1,Washington,Food,Norovirus,nan,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0.0,0.0,nan,nan,nan
97,2011,4,New York,Food,nan,nan,nan,Restaurant - Sit-down dining,8,0.0,0.0,nan,nan,nan
98,2011,4,Michigan,Food,Norovirus Genogroup II,GII.6,Confirmed,Caterer (food prepared off-site from where served),57,0.0,0.0,"salad, greek; caesar salad",nan,Multiple
99,2011,4,Idaho,Food,Clostridium perfringens,nan,Confirmed,Restaurant - Sit-down dining,23,0.0,0.0,"enchilada, chicken",chicken,Chicken
100,2011,4,Michigan,Food,Salmonella enterica,Muenchen,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",7,4.0,0.0,clover sprouts,clover sprouts,Sprouts
101,2011,3,South Carolina,Food,Campylobacter jejuni,nan,Confirmed,Other,23,1.0,0.0,raw milk,"milk, whole milk unpasteurized",Dairy
102,2011,4,Maryland,Food,Norovirus Genogroup I,nan,Confirmed,Restaurant - Sit-down dining,6,0.0,0.0,nan,nan,nan
103,2011,4,New York,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,9,0.0,0.0,"salad, unspecified; bread, unspecified",lettuce; bread,Multiple
104,2011,4,Georgia,Food,Norovirus Genogroup II,nan,Confirmed,Banquet Facility (food prepared and served on-site),22,0.0,0.0,"pineapple, unspecified; cantaloupe",pineapple; cantaloupe,Fruits
105,2011,2,Georgia,Food,Norovirus Genogroup II,nan,Confirmed,Office/indoor workplace,207,1.0,0.0,"juice, unspecified",nan,Fruits
106,2011,3,California,Food,nan,nan,nan,Restaurant - Sit-down dining,2,0.0,0.0,nan,nan,nan
107,2011,2,California,Food,Norovirus unknown,nan,Confirmed,Restaurant - other or unknown type,27,0.0,0.0,"cilantro, unspecified; salsa",cilantro,Herbs
108,2011,2,California,Food,nan,nan,nan,"Restaurant - ""Fast-food""(drive up service or pay at counter)",8,0.0,0.0,nan,nan,nan
109,2011,1,California,Food,nan,nan,nan,Restaurant - Sit-down dining,11,0.0,0.0,nan,nan,nan
110,2011,3,California,Food,nan,nan,nan,Restaurant - Sit-down dining,2,0.0,0.0,nan,nan,nan
111,2011,3,Florida,Food,Clostridium perfringens,nan,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",4,0.0,0.0,nan,nan,nan
112,2011,3,Florida,Food,nan,nan,nan,Restaurant - Sit-down dining,3,0.0,0.0,"cake, cheese",nan,Multiple
113,2011,4,Minnesota,Food,Norovirus Genogroup I,nan,Confirmed,Camp,23,0.0,0.0,nan,nan,nan
114,2011,1,Washington,Food,Other,nan,Suspected,Restaurant - Sit-down dining,2,0.0,0.0,"pork, sweet and sour",nan,Multiple
115,2011,4,Washington,Food,Norovirus Genogroup I,nan,Confirmed,Grocery store,9,0.0,0.0,"sandwich, submarine",nan,Multiple
116,2011,4,Connecticut,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,3,0.0,0.0,nan,nan,nan
117,2011,4,Florida,Food,Ciguatoxin,nan,Confirmed,Restaurant - Sit-down dining,2,0.0,0.0,"fish, mahi mahi","fish, mahi mahi",Fish
118,2011,3,Alabama,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,18,2.0,0.0,chips; salsa,corn; cilantro; onion; peppers; tomato,Multiple
119,2011,4,Illinois,Food,Norovirus Genogroup II,nan,Confirmed,Caterer (food prepared off-site from where served),24,0.0,0.0,nan,nan,nan
120,2011,2,California,Food,Norovirus unknown,nan,Confirmed,Restaurant - other or unknown type,18,0.0,0.0,coleslaw,nan,Multiple
121,2011,3,California,Food,Norovirus unknown,nan,Confirmed,Restaurant - other or unknown type,8,0.0,0.0,nan,nan,nan
122,2011,3,California,Food,Norovirus unknown,nan,Confirmed,Restaurant - Sit-down dining,21,0.0,0.0,nan,nan,nan
123,2011,3,Pennsylvania,Food,Norovirus unknown,nan,Suspected,Caterer (food prepared off-site from where served),57,1.0,0.0,"pizza, vegetable","bread, sourdough; broccoli; cheese, unspecified; cream cheese; tomato",Multiple
124,2011,4,Maine,Food,Norovirus Genogroup II,nan,Suspected,nan,41,0.0,0.0,nan,nan,nan
125,2011,4,Oregon,Food,Salmonella enterica,Stanley,Confirmed,Banquet Facility (food prepared and served on-site),4,2.0,0.0,nan,nan,nan
126,2011,2,Michigan,Food,nan,nan,nan,Unknown,2,0.0,0.0,nan,nan,nan
127,2011,5,Florida,Food,Bacillus cereus,nan,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,0.0,"rice, fried rice","rice, white",Grains-Beans
128,2011,4,Ohio,Food,nan,nan,nan,Unknown,2,0.0,0.0,nan,nan,nan
129,2011,3,Texas,Food,nan,nan,nan,nan,2,0.0,0.0,nan,nan,nan
130,2011,4,Texas,Food,nan,nan,nan,nan,3,0.0,0.0,nan,nan,nan
131,2011,3,Texas,Food,nan,nan,nan,nan,2,0.0,0.0,nan,nan,nan
132,2011,5,Texas,Food,nan,nan,nan,"Restaurant - ""Fast-food""(drive up service or pay at counter)",2,0.0,0.0,nan,nan,nan
133,2011,4,Michigan,Food,Norovirus Genogroup II,nan,Suspected,nan,14,0.0,0.0,nan,nan,nan
134,2011,4,Illinois,Food,Salmonella enterica,Typhimurium,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",36,3.0,0.0,multiple salads,nan,Unclassifiable
135,2011,5,Illinois,Food,nan,nan,nan,nan,11,0.0,0.0,nan,nan,nan
136,2011,5,Illinois,Food,Norovirus Genogroup I,nan,Confirmed,Banquet Facility (food prepared and served on-site),13,0.0,0.0,nan,nan,nan
137,2011,4,Pennsylvania,Food,Campylobacter jejuni,nan,Confirmed,nan,3,0.0,0.0,"milk, whole milk unpasteurized; milk, whole milk unpasteurized","milk, whole milk unpasteurized",Dairy
138,2011,5,Florida,Food,Norovirus,nan,Suspected,Restaurant - Sit-down dining,7,0.0,0.0,house salad,cherry tomato; lettuce,Multiple
139,2011,4,Pennsylvania,Food,nan,nan,nan,Banquet Facility (food prepared and served on-site),81,0.0,0.0,"salad, unspecified",nan,Multiple
140,2011,4,Rhode Island,Food,Norovirus,nan,Confirmed,nan,8,0.0,0.0,nan,nan,nan
141,2011,5,Texas,Food,nan,nan,nan,nan,4,0.0,0.0,nan,nan,nan
142,2011,1,California,Food,Salmonella enterica,Typhimurium,Suspected,Grocery store; Other,7,0.0,0.0,carne asada,nan,Multiple
143,2011,2,California,Food,Norovirus unknown,nan,Suspected,Restaurant - Sit-down dining,8,1.0,0.0,nan,nan,nan
144,2011,4,Georgia,Food,Norovirus Genogroup II,nan,Confirmed,Private home/residence; Banquet Facility (food prepared and served on-site),19,0.0,0.0,"house salad; cake, chocolate",nan,Multiple
145,2011,3,Georgia,Food,Salmonella enterica,Saintpaul,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; Restaurant - other or unknown type; Private home/residence",14,2.0,0.0,"cucumber; tomato, unspecified",cucumber; tomato,Seeded Vegetables
146,2011,4,Florida,Food,Norovirus Genogroup II,nan,Confirmed,Private home/residence,6,0.0,0.0,fruit smoothie,nan,Multiple
147,2011,4,Florida,Food,Norovirus Genogroup II,nan,Suspected,Restaurant - Sit-down dining,3,0.0,0.0,blue cheese dressing,nan,Multiple
148,2011,5,Texas,Food,nan,nan,nan,"Restaurant - ""Fast-food""(drive up service or pay at counter)",3,0.0,0.0,nan,nan,nan
149,2011,5,Michigan,Food,nan,nan,nan,nan,6,1.0,0.0,nan,nan,nan
150,2011,3,Michigan,Food,nan,nan,nan,nan,13,0.0,0.0,nan,nan,nan
151,2011,5,New York,Food,Norovirus,nan,Confirmed,Restaurant - other or unknown type,20,0.0,0.0,nan,nan,nan
152,2011,5,New York,Food,"Escherichia coli, Enterotoxigenic",O6:H16,Confirmed,Restaurant - Sit-down dining,19,0.0,0.0,tabouleh salad; spinach struedel,nan,Multiple
153,2011,4,Minnesota,Food,Norovirus,nan,Confirmed,Restaurant - Sit-down dining; Banquet Facility (food prepared and served on-site),61,0.0,0.0,fruit,"fruit, unspecified",Fruits
154,2011,4,Minnesota,Food,Norovirus Genogroup II,nan,Confirmed,Private home/residence,29,0.0,0.0,caesar salad; potato salad,nan,Multiple
155,2011,5,Minnesota,Food,Norovirus Genogroup II,nan,Confirmed,Restaurant - Sit-down dining,9,0.0,0.0,nan,nan,nan
156,2011,5,Minnesota,Food,Norovirus,nan,Suspected,"Restaurant - ""Fast-food""(drive up service or pay at counter)",5,0.0,0.0,nan,nan,nan
157,2011,5,Minnesota,Food,Norovirus Genogroup II,nan,Confirmed,Caterer (food prepared off-site from where served),32,1.0,0.0,"potato, mashed",nan,Multiple
158,2011,5,Connecticut,Food,nan,nan,nan,Caterer (food prepared off-site from where served),13,0.0,0.0,chicken picata; eggplant,nan,Multiple
159,2011,5,Tennessee,Food,Norovirus Genogroup I,GI.3,Confirmed,Restaurant - Sit-down dining,6,0.0,0.0,nan,nan,nan
160,2011,5,Pennsylvania,Food,Salmonella enterica,Enteritidis,Confirmed,nan,10,1.0,0.0,chicken picata,chicken,Chicken
161,2011,3,Puerto Rico,Food,nan,nan,nan,"Restaurant - ""Fast-food""(drive up service or pay at counter)",14,0.0,0.0,pizza,nan,Multiple
162,2011,3,Hawaii,Food,nan,nan,nan,nan,3,0.0,0.0,nan,nan,nan
163,2011,5,Pennsylvania,Food,Staphylococcus aureus,nan,Suspected,nan,4,0.0,0.0,nan,nan,nan
164,2011,5,Illinois,Food,nan,nan,nan,Restaurant - Sit-down dining,6,0.0,0.0,nan,nan,nan
165,2011,5,Ohio,Food,nan,nan,nan,nan,3,0.0,0.0,nan,nan,nan
166,2011,5,Texas,Food,nan,nan,nan,Restaurant - Sit-down dining,4,0.0,0.0,"pizza, meat",nan,Multiple
167,2011,5,Texas,Food,nan,nan,nan,nan,3,0.0,0.0,nan,nan,nan
168,2011,4,Florida,Food,Norovirus Genogroup II,nan,Suspected,Restaurant - Sit-down dining,24,0.0,0.0,"fruit cup, water, ice",nan,Multiple
169,2011,3,New York,Food,"Escherichia coli, Enterotoxigenic",unknown,Confirmed,Restaurant - Sit-down dining; Caterer (food prepared off-site from where served),53,0.0,0.0,hummus,nan,Multiple
170,2011,5,Illinois,Food,Norovirus Genogroup II,nan,Confirmed,nan,13,0.0,0.0,nan,nan,nan
171,2011,5,Illinois,Food,nan,nan,nan,Restaurant - Sit-down dining,4,0.0,0.0,"sandwich, roast beef",nan,Multiple
172,2011,4,Alabama,Food,Norovirus Genogroup I,nan,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",21,2.0,0.0,lettuce,lettuce,Vegetable Row Crops
173,2011,5,Texas,Food,nan,nan,nan,nan,3,0.0,0.0,nan,nan,nan
174,2011,4,Massachusetts,Food,Norovirus Genogroup I,nan,Confirmed,Restaurant - Sit-down dining,197,0.0,0.0,nan,nan,nan
175,2011,3,Ohio,Food,nan,nan,nan,Private home/residence,28,0.0,0.0,"bean dishes; collard greens; chicken and dumplings; taco, unspecified; apple crisp; dip, buffalo chicken",nan,Multiple
176,2011,5,Georgia,Food,Salmonella enterica,Heidelberg,Confirmed,Private home/residence,4,1.0,0.0,nan,nan,nan
177,2011,2,Texas,Food,nan,nan,nan,nan,19,2.0,0.0,nan,nan,nan
178,2011,6,Minnesota,Food,Staphylococcus aureus,nan,Suspected,Private home/residence,13,0.0,0.0,potato salad,egg,Eggs
179,2011,6,Iowa,Food,nan,nan,nan,nan,11,0.0,0.0,nan,nan,nan
180,2011,4,Pennsylvania,Food,Norovirus,nan,Suspected,Caterer (food prepared off-site from where served),50,0.0,0.0,"sandwich, deli","american cheese, pasteurized; lettuce; tomatoes, red round",Multiple
181,2011,5,Kansas,Food,nan,nan,nan,Restaurant - Sit-down dining,3,0.0,0.0,nan,nan,nan
182,2011,5,Kansas,Food,Clostridium perfringens,nan,Suspected,Prison/jail,115,0.0,0.0,chili macaroni,turkey,Turkey
183,2011,5,Michigan,Food,Campylobacter unknown,nan,Confirmed,Other,2,0.0,0.0,raw milk,raw milk,Dairy
184,2011,6,Michigan,Food,nan,nan,nan,Office/indoor workplace,8,0.0,0.0,"burrito, unspecified; salsa",nan,Multiple
185,2011,6,Illinois,Food,nan,nan,nan,Restaurant - Sit-down dining,13,0.0,0.0,nan,nan,nan
186,2011,4,California,Food,nan,nan,nan,Restaurant - Sit-down dining,12,0.0,0.0,nan,nan,nan
187,2011,5,Minnesota,Food,Norovirus,nan,Suspected,Restaurant - Sit-down dining,7,0.0,0.0,nan,nan,nan
188,2011,6,Illinois,Food,nan,nan,nan,Banquet Facility (food prepared and served on-site),2,0.0,0.0,nan,nan,nan
189,2011,6,Texas,Food,nan,nan,nan,Restaurant - Sit-down dining,6,0.0,0.0,ribs,nan,Multiple
190,2011,6,New York,Food,"Escherichia coli, Enterotoxigenic",nan,Confirmed,Restaurant - Sit-down dining,90,1.0,0.0,bbq tofu,nan,Multiple
191,2011,2,Arizona,Food,Norovirus Genogroup II,nan,Confirmed,"Restaurant - ""Fast-food""(drive up service or pay at counter)",17,0.0,0.0,nan,nan,nan
192,2011,5,California,Food,nan,nan,nan,Restaurant - Sit-down dining,4,0.0,0.0,nan,nan,nan
193,2011,1,California,Food,Salmonella enterica,Typhimurium,Confirmed,Private home/residence,37,7.0,0.0,"queso fresco, unpasteurized",nan,Dairy
194,2011,5,Georgia,Food,Salmonella enterica,Enteritidis,Confirmed,Caterer (food prepared off-site from where served); Grocery store; Other,25,1.0,0.0,nan,nan,nan
195,2011,3,Arizona,Food,nan,nan,nan,"Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining",2,1.0,0.0,nan,nan,nan
196,2011,5,Oklahoma,Food,Norovirus Genogroup II,nan,Confirmed,Caterer (food prepared off-site from where served),39,0.0,0.0,"chicken; salad, unspecified",nan,Multiple
197,2011,4,Arizona,Food,Norovirus Genogroup I,nan,Confirmed,Restaurant - Sit-down dining,5,0.0,0.0,nan,nan,nan
198,2011,4,Pennsylvania,Food,nan,nan,nan,Banquet Facility (food prepared and served on-site),12,0.0,0.0,nan,nan,nan
199,2011,5,Wisconsin,Food,Clostridium perfringens,nan,Suspected,Private home/residence,12,0.0,0.0,"beef, roast with gravy",nan,Multiple
200,2011,6,Maryland,Food,nan,nan,nan,Restaurant - Sit-down dining,2,0.0,0.0,nan,nan,nan
201,2011,6,New York,Food,nan,nan,nan,Banquet Facility (food prepared and served on-site),15,0.0,0.0,vegetable platter,nan,Multiple
202,2011,6,Louisiana,Food,Clostridium perfringens,nan,Confirmed,nan,30,0.0,0.0,nan,nan,nan
203,2011,3,Ohio,Food,nan,nan,nan,nan,3,1.0,0.0,nan,nan,nan
